cycle,chargetime,qc,mask
1.0,13.341825000000000,1.026324,0.0
2.0,13.425898333333300,1.0298694,0.0
3.0,13.425603333333400,1.0312631,0.0
4.0,13.341356666666700,1.0328698,0.0
5.0,13.426001666666600,1.033514,0.0
6.0,13.341555000000000,1.0337214,0.0
7.0,13.425836666666600,1.0340149,0.0
8.0,13.341508333333300,1.034722,0.0
9.0,13.341470000000000,1.0351123,0.0
10.0,13.341426666666700,1.0351796,0.0
11.0,13.341425000000000,1.0352688,0.0
12.0,13.341279999999900,1.035045,0.0
13.0,13.341433333333300,1.0353999,0.0
14.0,13.341591666666600,1.0348132,0.0
15.0,13.34156833333330,1.0358824,0.0
16.0,13.425875000000100,1.0352463,0.0
17.0,13.341423333333200,1.0356345,0.0
18.0,13.34155166666650,1.0349346,0.0
19.0,13.341571666666800,1.0349554,0.0
20.0,13.425831666666600,1.0354877,0.0
21.0,13.34140166666650,1.0355884,0.0
22.0,13.425668333333300,1.0349157,0.0
23.0,13.341580000000000,1.0353824,0.0
24.0,13.425931666666800,1.0353769,0.0
25.0,13.34152499999980,1.0357862,0.0
26.0,13.341410000000200,1.0352805,0.0
27.0,13.425880000000100,1.0356171,0.0
28.0,13.341266666666800,1.035977,0.0
29.0,13.425813333333400,1.035467,0.0
30.0,13.341496666666600,1.0349633,0.0
31.0,13.341390000000000,1.0354592,0.0
32.0,13.425910000000100,1.0354769,0.0
33.0,13.425778333333400,1.034745,0.0
34.0,13.425786666666700,1.0354772,0.0
35.0,13.341406666666700,1.0351204,0.0
36.0,13.425661666666800,1.0357852,0.0
37.0,13.426354999999800,1.0353451,0.0
38.0,13.426431666666800,1.0355446,0.0
39.0,13.42588666666660,1.035349,0.0
40.0,13.426198333333000,1.0352272,0.0
41.0,13.34159000000020,1.0357152,0.0
42.0,13.341373333333000,1.0353183,0.0
43.0,13.340703333333700,1.0347497,0.0
44.0,13.341274999999800,1.0357513,0.0
45.0,13.425760000000200,1.0353448,0.0
46.0,13.341408333333700,1.0353128,0.0
47.0,13.425803333333700,1.0356543,0.0
